id,Title,Year,upc
19675,...And Justice for All,1979,1438170525
642571,"'71 (DVD+DC,STD,WS)",2015,3139821848
172166,(500) Days of Summer,2009,Scraping failed
197391,[rec]2,2009,4339635611
77865,$ (Dollars),1971,4339626880
391380,1/2 Revolution,2012,Scraping failed
9510,10,1979,883929156665
755102,10 Cloverfield Lane,2016,3242924448
467292,10 Minute Solution: Best Belly Blasters,2011,1313229619
467296,10 Minute Solution: Butt Lift,2013,1313260751
467298,10 Minute Solution: High Intensity Interval Training,2013,1313260749
467300,10 Minute Solution: Hot Body Bootcamp,2008,131315557
467302,10 Minute Solution: Knockout Body Workout,2010,1313163129
467306,10 Minute Solution: Rapid Results Fat Burners,2010,1313215879
467308,10 MS: Tighten & Tone Pilates with Band DVD,2012,1313263953
70613,10 Rillington Place,1971,4339635490
391265,10 Years,2012,1313255889
132100,"10,000 B.C.",2008,883929026005
6373,100 Girls,2000,774212204531
8757,100 Rifles,1969,Scraping failed
6524,100 Women,2003,3139882582
70621,11 Harrowhouse,1974,Scraping failed
54270,11:14,2003,794043838927
130907,"11th Hour, The",2007,8539118351
144696,12,2007,4339628028
494878,12 Disasters,2012,1313261255
371250,12 Dogs of Christmas: Great Puppy Rescue,2005,4339640946
181913,12 Men of Christmas,2009,Scraping failed
5903,12 Monkeys,1995,2519203214
161035,12 Rounds (Extreme Cut),2009,24543589013
161030,12 Rounds (Theatrical),2009,Scraping failed
436891,12 Rounds 2: Reloaded,2013,Scraping failed
694266,"12 ROUNDS 3: LOCKDOWN (BD+DC,STD,WS)",2015,3139823168
481186,12 Years a Slave,2013,Scraping failed
167771,127 Hours,2010,24543736394
261702,13,2012,777235016501
29294,13 Conversations About One Thing,2002,4339608700
9591,13 Ghosts,2001,883929159093
41982,13 Going on 30,2004,4339629607
735269,"13 HOURS (BD+DVD+DC,2PK,WS)",2016,3242924171
14609,"13th Floor , The",1999,4339629528
26625,1492: Conquest of Paradise,1992,62400000000
22474,15 Minutes,1999,6593582339
10937,16 Blocks,2006,1256982946
145549,17 Again,2009,794043128516
26381,1776,1972,4339645967
9316,187,1997,883929155491
4901,1941,1979,25192235078
746666,"1982 (DVD+DC,STD,WS)",2016,3139823793
192034,"19th Wife, The",2010,4339637739
130435,2 Days In Paris,2007,Scraping failed
12634,2 Days in the Valley,1996,883929311460
5889,2 Fast 2 Furious,2003,2519505517
461382,2 Guns,2013,2519221353
136272,20 Million Miles to Earth,1957,4339622683
26279,20 Million Miles to Earth (Original B&W Version),,24932700000000
10641,"20,000 Leagues Under the Sea",1997,Scraping failed
6852,2001 Maniacs,2006,3139812584
9000,"2001-A SPACE ODYSSEY (BD+DC,STD,WS,EXCL)",1968,883929176571
67182,"2006 FIFA World Cup Film: The Grand Finale, The",2007,4339617834
9415,2010: The Year We Make Contact,1984,883929051069
168059,2012,2009,4339634886
385871,2016: Obama's America,2012,31398161950
132326,21,2008,4339621529
5849,21 Grams,2003,6593582448
129032,"24 Hour Woman, The",1999,26468400000000
903634,"24 HOURS TO LIVE (BD+DC,STD,WS)",2017,Scraping failed
374386,247 F,2011,1313253139
131221,27 Dresses,2008,24543506591
16451,28 Days,2000,4339637565
8637,28 Days Later,2002,24543468172
129115,28 Weeks Later,2007,Scraping failed
7386,29 Palms,2003,1223613858
6843,3 Extremes,2005,3139817800
10721,3 Godfathers,1948,1256951822
252279,"3 Investigator and the Secret of Skeleton Island, The",2007,3139814693
22214,3 Ninjas Kick Back,1994,4339605983
22209,3 Ninjas Knuckle Up,1995,4339605984
39602,3 Women,1977,Scraping failed
25322,"3 Worlds of Gulliver, The",1960,4339605920
53090,3-Iron,2004,4339610859
5118,"3-MOVIE WAR HEROES: MACARTHUR, MIDWAY, TO HELL & BACK",1976,25192112041
25263,3:10 to Yuma,1957,715515105811
129211,3:10 to Yuma,1957,3139822189
